Total Qty,Reg Qty,Foil Qty,Card,Set,Mana Cost,Card Type,Color,Rarity,Mvid,Single Price,Single Foil Price,Total Price,Price Source,Notes
4,4,0,Jeweled Bird,Arabian Nights,1,Artifact,Artifact,Uncommon,910,11.00,0.00,44.00,tcglo,
3,3,0,Cuombajj Witches,Arabian Nights,BB,Creature  - Human Wizard,Black,Common,914,3.84,0.00,11.52,tcglo,
1,1,0,Urza's Avenger,Antiquities,6,Artifact Creature  - Shapeshifter,Artifact,Rare,1030,6.79,0.00,6.79,tcglo,
1,1,0,Soul Net,Revised Edition,1,Artifact,Artifact,Uncommon,1136,0.07,0.00,0.07,tcglo,
1,1,0,Drudge Skeletons,Revised Edition,1B,Creature  - Skeleton,Black,Common,1157,0.04,0.00,0.04,tcglo,
1,1,0,Frozen Shade,Revised Edition,2B,Creature  - Shade,Black,Common,1162,0.03,0.00,0.03,tcglo,
1,1,0,Unholy Strength,Revised Edition,B,Enchantment  - Aura,Black,Common,1183,0.09,0.00,0.09,tcglo,
1,1,0,Prodigal Sorcerer,Revised Edition,2U,Creature  - Human Wizard,Blue,Common,1217,0.04,0.00,0.04,tcglo,
1,1,0,Force of Nature,Revised Edition,2GGGG,Creature  - Elemental,Green,Rare,1245,0.99,0.00,0.99,tcglo,
2,2,0,Disintegrate,Revised Edition,XR,Sorcery,Red,Common,1283,0.06,0.00,0.12,tcglo,
1,1,0,Fireball,Revised Edition,XR,Sorcery,Red,Common,1291,0.14,0.00,0.14,tcglo,
1,1,0,Mijae Djinn,Revised Edition,RRR,Creature  - Djinn,Red,Rare,1307,0.65,0.00,0.65,tcglo,
2,2,0,Red Elemental Blast,Revised Edition,R,Instant,Red,Common,1312,0.10,0.00,0.20,tcglo,
1,1,0,Roc of Kher Ridges,Revised Edition,3R,Creature  - Bird,Red,Rare,1313,0.59,0.00,0.59,tcglo,
2,2,0,Holy Strength,Revised Edition,W,Enchantment  - Aura,White,Common,1350,0.03,0.00,0.06,tcglo,
1,1,0,Thrull Wizard,Fallen Empires,2B,Creature  - Thrull Wizard,Black,Uncommon,1868,0.07,0.00,0.07,tcglo,
1,1,0,Homarid,Fallen Empires,2U,Creature  - Homarid,Blue,Common,1877,0.05,0.00,0.05,tcglo,
1,1,0,Dwarven Lieutenant,Fallen Empires,RR,Creature  - Dwarf Soldier,Red,Uncommon,1943,0.08,0.00,0.08,tcglo,
1,1,0,Aladdin's Lamp,Fourth Edition,10,Artifact,Artifact,Rare,2014,0.09,0.00,0.09,tcglo,
5,5,0,Amulet of Kroog,Fourth Edition,2,Artifact,Artifact,Common,2016,0.03,0.00,0.15,tcglo,
2,2,0,Armageddon Clock,Fourth Edition,6,Artifact,Artifact,Rare,2018,0.22,0.00,0.44,tcglo,
1,1,0,Ashnod's Battle Gear,Fourth Edition,2,Artifact,Artifact,Uncommon,2019,0.06,0.00,0.06,tcglo,
6,6,0,Battering Ram,Fourth Edition,2,Artifact Creature  - Construct,Artifact,Common,2020,0.03,0.00,0.18,tcglo,
1,1,0,Bottle of Suleiman,Fourth Edition,4,Artifact,Artifact,Rare,2024,0.10,0.00,0.10,tcglo,
3,3,0,Brass Man,Fourth Edition,1,Artifact Creature  - Construct,Artifact,Uncommon,2025,0.05,0.00,0.15,tcglo,
3,3,0,Celestial Prism,Fourth Edition,3,Artifact,Artifact,Uncommon,2027,0.05,0.00,0.15,tcglo,
8,8,0,Clay Statue,Fourth Edition,4,Artifact Creature  - Golem,Artifact,Common,2028,0.05,0.00,0.40,tcglo,
